id,quote_id,tag_id,created_at
64,43,18,2023-05-24 08:36:47.033604+00
65,44,1,2023-05-24 08:36:47.033604+00
66,44,11,2023-05-24 08:36:47.033604+00
67,45,2,2023-05-24 08:36:47.033604+00
68,46,4,2023-05-24 08:36:47.033604+00
69,47,17,2023-05-24 08:36:47.033604+00
70,48,3,2023-05-24 08:36:47.033604+00
71,49,1,2023-05-24 08:36:47.033604+00
72,50,7,2023-05-24 08:36:47.033604+00
73,51,1,2023-05-24 08:36:47.033604+00
74,52,4,2023-05-24 08:36:47.033604+00
75,53,2,2023-05-24 08:36:47.033604+00
76,53,7,2023-05-24 08:36:47.033604+00
77,54,4,2023-05-24 08:36:47.033604+00
78,55,1,2023-05-24 08:36:47.033604+00
79,56,13,2023-05-24 08:36:47.033604+00
80,57,3,2023-05-24 08:36:47.033604+00
81,58,3,2023-05-24 08:36:47.033604+00
82,58,5,2023-05-24 08:36:47.033604+00
83,59,3,2023-05-24 08:36:47.033604+00
84,60,13,2023-05-24 08:36:47.033604+00
85,61,3,2023-05-24 08:36:47.033604+00
86,61,2,2023-05-24 08:36:47.033604+00
87,61,1,2023-05-24 08:36:47.033604+00
88,62,9,2023-05-24 08:36:47.033604+00
89,62,14,2023-05-24 08:36:47.033604+00
90,63,4,2023-05-24 08:36:47.033604+00
91,63,18,2023-05-24 08:36:47.033604+00
92,64,1,2023-05-24 08:36:47.033604+00
93,65,1,2023-05-24 08:36:47.033604+00
94,66,16,2023-05-24 08:36:47.033604+00
95,66,17,2023-05-24 08:36:47.033604+00
96,67,17,2023-05-24 08:36:47.033604+00
97,68,3,2023-05-24 08:36:47.033604+00
98,68,18,2023-05-24 08:36:47.033604+00
99,69,13,2023-05-24 08:36:47.033604+00
100,69,1,2023-05-24 08:36:47.033604+00
101,70,16,2023-05-24 08:36:47.033604+00
102,70,17,2023-05-24 08:36:47.033604+00
103,71,4,2023-05-24 08:36:47.033604+00
104,71,20,2023-05-24 08:36:47.033604+00
105,72,3,2023-05-24 08:36:47.033604+00
106,72,2,2023-05-24 08:36:47.033604+00
107,73,4,2023-05-24 08:36:47.033604+00
108,74,17,2023-05-24 08:36:47.033604+00
109,75,1,2023-05-24 08:36:47.033604+00
110,76,2,2023-05-24 08:36:47.033604+00
111,77,1,2023-05-24 08:36:47.033604+00
112,78,3,2023-05-24 08:36:47.033604+00
113,79,16,2023-05-24 08:36:47.033604+00
114,80,4,2023-05-24 08:36:47.033604+00
115,81,3,2023-05-24 08:36:47.033604+00
116,81,2,2023-05-24 08:36:47.033604+00
117,82,4,2023-05-24 08:36:47.033604+00
118,83,21,2023-05-24 08:36:47.033604+00
119,84,2,2023-05-24 08:36:47.033604+00
120,85,2,2023-05-24 08:36:47.033604+00
121,85,17,2023-05-24 08:36:47.033604+00
122,86,12,2023-05-24 08:36:47.033604+00
123,86,3,2023-05-24 08:36:47.033604+00
124,87,16,2023-05-24 08:36:47.033604+00
125,88,1,2023-05-24 08:36:47.033604+00
126,89,16,2023-05-24 08:36:47.033604+00
127,89,7,2023-05-24 08:36:47.033604+00
128,90,1,2023-05-24 08:36:47.033604+00
129,91,1,2023-05-24 08:36:47.033604+00
130,92,2,2023-05-24 08:36:47.033604+00
131,93,1,2023-05-24 08:36:47.033604+00
132,94,8,2023-05-24 08:36:47.033604+00
133,96,16,2023-05-24 08:36:47.033604+00
134,97,13,2023-05-24 08:36:47.033604+00
135,98,16,2023-05-24 08:36:47.033604+00
136,99,17,2023-05-24 08:36:47.033604+00
137,100,4,2023-05-24 08:36:47.033604+00
138,101,4,2023-05-24 08:36:47.033604+00
139,102,3,2023-05-24 08:36:47.033604+00
140,102,23,2023-05-24 08:36:47.033604+00
141,103,1,2023-05-24 08:36:47.033604+00
142,104,1,2023-05-24 08:36:47.033604+00
143,105,3,2023-05-24 08:36:47.033604+00
144,106,3,2023-05-24 08:36:47.033604+00
145,107,14,2023-05-24 08:36:47.033604+00
146,107,3,2023-05-24 08:36:47.033604+00
147,108,1,2023-05-24 08:36:47.033604+00
148,109,2,2023-05-24 08:36:47.033604+00
149,110,4,2023-05-24 08:36:47.033604+00
150,111,1,2023-05-24 08:36:47.033604+00
151,112,1,2023-05-24 08:36:47.033604+00
152,113,4,2023-05-24 08:36:47.033604+00
153,114,2,2023-05-24 08:36:47.033604+00
154,115,18,2023-05-24 08:36:47.033604+00
155,116,12,2023-05-24 08:36:47.033604+00
156,116,1,2023-05-24 08:36:47.033604+00
157,117,16,2023-05-24 08:36:47.033604+00
158,118,1,2023-05-24 08:36:47.033604+00
159,119,1,2023-05-24 08:36:47.033604+00
160,120,16,2023-05-24 08:36:47.033604+00
161,121,2,2023-05-24 08:36:47.033604+00
162,122,19,2023-05-24 08:36:47.033604+00
163,122,15,2023-05-24 08:36:47.033604+00
164,123,1,2023-05-24 08:36:47.033604+00
165,124,10,2023-05-24 08:36:47.033604+00
166,125,2,2023-05-24 08:36:47.033604+00
167,126,4,2023-05-24 08:36:47.033604+00
168,127,16,2023-05-24 08:36:47.033604+00
169,128,4,2023-05-24 08:36:47.033604+00
170,128,2,2023-05-24 08:36:47.033604+00
171,129,2,2023-05-24 08:36:47.033604+00
172,130,10,2023-05-24 08:36:47.033604+00
173,131,18,2023-05-24 08:36:47.033604+00
174,132,2,2023-05-24 08:36:47.033604+00
175,133,12,2023-05-24 08:36:47.033604+00
176,133,24,2023-05-24 08:36:47.033604+00
177,134,1,2023-05-24 08:36:47.033604+00
178,135,1,2023-05-24 08:36:47.033604+00
179,136,2,2023-05-24 08:36:47.033604+00
180,137,16,2023-05-24 08:36:47.033604+00
181,138,17,2023-05-24 08:36:47.033604+00
182,139,2,2023-05-24 08:36:47.033604+00
183,139,1,2023-05-24 08:36:47.033604+00
184,139,22,2023-05-24 08:36:47.033604+00
185,139,10,2023-05-24 08:36:47.033604+00
186,139,8,2023-05-24 08:36:47.033604+00
187,139,9,2023-05-24 08:36:47.033604+00
188,140,10,2023-05-24 08:36:47.033604+00
189,141,4,2023-05-24 08:36:47.033604+00
190,141,8,2023-05-24 08:36:47.033604+00
191,142,4,2023-05-24 08:36:47.033604+00
192,142,5,2023-05-24 08:36:47.033604+00
193,143,2,2023-05-24 08:36:47.033604+00
194,143,1,2023-05-24 08:36:47.033604+00
195,144,3,2023-05-24 08:36:47.033604+00
196,145,1,2023-05-24 08:36:47.033604+00
197,146,2,2023-05-24 08:36:47.033604+00
198,146,1,2023-05-24 08:36:47.033604+00
199,147,18,2023-05-24 08:36:47.033604+00
200,148,16,2023-05-24 08:36:47.033604+00
201,149,14,2023-05-24 08:36:47.033604+00
202,149,3,2023-05-24 08:36:47.033604+00
203,150,16,2023-05-24 08:36:47.033604+00
204,151,17,2023-05-24 08:36:47.033604+00
205,152,1,2023-05-24 08:36:47.033604+00
206,153,17,2023-05-24 08:36:47.033604+00
207,154,4,2023-05-24 08:36:47.033604+00
208,155,2,2023-05-24 08:36:47.033604+00
209,156,2,2023-05-24 08:36:47.033604+00
210,157,16,2023-05-24 08:36:47.033604+00
211,158,2,2023-05-24 08:36:47.033604+00
212,159,2,2023-05-24 08:36:47.033604+00
213,160,4,2023-05-24 08:36:47.033604+00
214,161,4,2023-05-24 08:36:47.033604+00
215,161,1,2023-05-24 08:36:47.033604+00
216,162,17,2023-05-24 08:36:47.033604+00
217,163,17,2023-05-24 08:36:47.033604+00
218,163,2,2023-05-24 08:36:47.033604+00
219,164,3,2023-05-24 08:36:47.033604+00
220,165,1,2023-05-24 08:36:47.033604+00
221,166,19,2023-05-24 08:36:47.033604+00
222,167,23,2023-05-24 08:36:47.033604+00
223,168,2,2023-05-24 08:36:47.033604+00
224,169,16,2023-05-24 08:36:47.033604+00
225,170,4,2023-05-24 08:36:47.033604+00
226,170,3,2023-05-24 08:36:47.033604+00
227,171,12,2023-05-24 08:36:47.033604+00
228,171,2,2023-05-24 08:36:47.033604+00
229,172,8,2023-05-24 08:36:47.033604+00
230,173,18,2023-05-24 08:36:47.033604+00
231,174,2,2023-05-24 08:36:47.033604+00
232,175,1,2023-05-24 08:36:47.033604+00
233,176,16,2023-05-24 08:36:47.033604+00
234,177,3,2023-05-24 08:36:47.033604+00
235,178,16,2023-05-24 08:36:47.033604+00
236,179,17,2023-05-24 08:36:47.033604+00
237,180,12,2023-05-24 08:36:47.033604+00
238,180,2,2023-05-24 08:36:47.033604+00
239,181,19,2023-05-24 08:36:47.033604+00
240,182,15,2023-05-24 08:36:47.033604+00
241,182,20,2023-05-24 08:36:47.033604+00
242,183,8,2023-05-24 08:36:47.033604+00
243,184,19,2023-05-24 08:36:47.033604+00
244,185,8,2023-05-24 08:36:47.033604+00
245,186,19,2023-05-24 08:36:47.033604+00
246,187,8,2023-05-24 08:36:47.033604+00
247,188,1,2023-05-24 08:36:47.033604+00
248,188,11,2023-05-24 08:36:47.033604+00
249,189,9,2023-05-24 08:36:47.033604+00
250,190,1,2023-05-24 08:36:47.033604+00
251,191,2,2023-05-24 08:36:47.033604+00
252,191,1,2023-05-24 08:36:47.033604+00
253,192,11,2023-05-24 08:36:47.033604+00
254,193,13,2023-05-24 08:36:47.033604+00
255,194,4,2023-05-24 08:36:47.033604+00
256,195,3,2023-05-24 08:36:47.033604+00
257,196,19,2023-05-24 08:36:47.033604+00
258,197,4,2023-05-24 08:36:47.033604+00
259,198,3,2023-05-24 08:36:47.033604+00
260,199,8,2023-05-24 08:36:47.033604+00
261,200,16,2023-05-24 08:36:47.033604+00
262,200,9,2023-05-24 08:36:47.033604+00
263,201,13,2023-05-24 08:36:47.033604+00
264,202,5,2023-05-24 08:36:47.033604+00
265,203,3,2023-05-24 08:36:47.033604+00
266,203,1,2023-05-24 08:36:47.033604+00
267,204,3,2023-05-24 08:36:47.033604+00
268,205,17,2023-05-24 08:36:47.033604+00
269,205,19,2023-05-24 08:36:47.033604+00
270,206,2,2023-05-24 08:36:47.033604+00
271,207,16,2023-05-24 08:36:47.033604+00
272,208,18,2023-05-24 08:36:47.033604+00
273,209,3,2023-05-24 08:36:47.033604+00
274,210,19,2023-05-24 08:36:47.033604+00
275,211,17,2023-05-24 08:36:47.033604+00
276,212,17,2023-05-24 08:36:47.033604+00
277,213,17,2023-05-24 08:36:47.033604+00
278,214,1,2023-05-24 08:36:47.033604+00
279,215,22,2023-05-24 08:36:47.033604+00
280,216,2,2023-05-24 08:36:47.033604+00
281,216,1,2023-05-24 08:36:47.033604+00
282,217,4,2023-05-24 08:36:47.033604+00
283,218,22,2023-05-24 08:36:47.033604+00
284,219,4,2023-05-24 08:36:47.033604+00
285,220,19,2023-05-24 08:36:47.033604+00
286,221,3,2023-05-24 08:36:47.033604+00
287,222,19,2023-05-24 08:36:47.033604+00
288,222,2,2023-05-24 08:36:47.033604+00
289,222,12,2023-05-24 08:36:47.033604+00
290,223,11,2023-05-24 08:36:47.033604+00
291,224,2,2023-05-24 08:36:47.033604+00
292,224,25,2023-05-24 08:36:47.033604+00
293,224,9,2023-05-24 08:36:47.033604+00
294,225,16,2023-05-24 08:36:47.033604+00
295,226,17,2023-05-24 08:36:47.033604+00
296,227,8,2023-05-24 08:36:47.033604+00
297,228,2,2023-05-24 08:36:47.033604+00
298,229,22,2023-05-24 08:36:47.033604+00
299,230,22,2023-05-24 08:36:47.033604+00
300,231,16,2023-05-24 08:36:47.033604+00
301,232,2,2023-05-24 08:36:47.033604+00
302,233,14,2023-05-24 08:36:47.033604+00
303,233,17,2023-05-24 08:36:47.033604+00
304,233,1,2023-05-24 08:36:47.033604+00
305,234,2,2023-05-24 08:36:47.033604+00
306,234,5,2023-05-24 08:36:47.033604+00
307,235,16,2023-05-24 08:36:47.033604+00
308,236,4,2023-05-24 08:36:47.033604+00
309,237,4,2023-05-24 08:36:47.033604+00
310,238,18,2023-05-24 08:36:47.033604+00
311,239,22,2023-05-24 08:36:47.033604+00
312,240,19,2023-05-24 08:36:47.033604+00
313,241,17,2023-05-24 08:36:47.033604+00
314,242,1,2023-05-24 08:36:47.033604+00
315,242,22,2023-05-24 08:36:47.033604+00
316,242,10,2023-05-24 08:36:47.033604+00
317,243,17,2023-05-24 08:36:47.033604+00
318,244,13,2023-05-24 08:36:47.033604+00
319,245,4,2023-05-24 08:36:47.033604+00
320,246,4,2023-05-24 08:36:47.033604+00
321,247,17,2023-05-24 08:36:47.033604+00
322,248,22,2023-05-24 08:36:47.033604+00
323,249,3,2023-05-24 08:36:47.033604+00
324,250,4,2023-05-24 08:36:47.033604+00
325,251,2,2023-05-24 08:36:47.033604+00
326,252,17,2023-05-24 08:36:47.033604+00
327,253,1,2023-05-24 08:36:47.033604+00
328,254,18,2023-05-24 08:36:47.033604+00
329,255,3,2023-05-24 08:36:47.033604+00
330,256,17,2023-05-24 08:36:47.033604+00
331,257,6,2023-05-24 08:36:47.033604+00
332,258,22,2023-05-24 08:36:47.033604+00
333,259,11,2023-05-24 08:36:47.033604+00
334,260,9,2023-05-24 08:36:47.033604+00
335,261,17,2023-05-24 08:36:47.033604+00
336,262,3,2023-05-24 08:36:47.033604+00
337,262,1,2023-05-24 08:36:47.033604+00
338,262,8,2023-05-24 08:36:47.033604+00
339,263,13,2023-05-24 08:36:47.033604+00
340,263,2,2023-05-24 08:36:47.033604+00
341,264,1,2023-05-24 08:36:47.033604+00
342,265,22,2023-05-24 08:36:47.033604+00
343,266,2,2023-05-24 08:36:47.033604+00
344,267,17,2023-05-24 08:36:47.033604+00
345,268,22,2023-05-24 08:36:47.033604+00
346,268,17,2023-05-24 08:36:47.033604+00
347,269,1,2023-05-24 08:36:47.033604+00
348,270,17,2023-05-24 08:36:47.033604+00
